event_id,disease,district,season_label,year,window_start,window_end,label,leaf_blast_incidence_pct,neck_blast_incidence_pct,leaf_blast_severity_pct,neck_blast_severity_pct,pct_fields_infected,avg_yield_loss_pct,affected_area_ha,note,source,precip_mean_mm,precip_max_mm,precip_sum_mm,precip_climatology_normal_mm,precip_anomaly_mm,rh_mean_pct,rh_max_pct,temp_mean_c,vpd_mean_kpa,wet_persistence_max_days,n_met_days,sar_vv_db_mean,sar_vh_db_mean,n_s1_scenes,ndvi_mean,ndwi_mean,lst_celsius_mean,n_landsat_scenes
RB_Mymensingh_2019,rice_blast,Mymensingh,Boro 2019,2019,2018-12-01,2019-03-15,0,13.0,2.97,12.0,4.33,,,,LBI=13.0% < 15% and NBI=2.97% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.9807619047619046,23.18,102.98,0.6072979214780599,0.3734639832838446,59.55504761904761,91.48,20.1407619047619,1.0429040107222696,3.0,105,-4.53004155388363,-12.785207041741211,6,0.399308530451552,-0.3921634376660436,24.804027096406287,4.0
RB_Jashore_2017,rice_blast,Jashore,Boro 2017,2017,2016-12-01,2017-03-15,0,8.33,1.2,6.67,2.0,,,,LBI=8.33% < 15% and NBI=1.2% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.883904761904762,59.85,92.81,0.5731177829099307,0.3107869789948313,61.66504761904762,86.4,20.69485714285715,1.0695900396220113,2.0,105,-6.725934436922515,-13.87061045236121,6,0.3380476540265085,-0.3227897731438866,24.36703457457034,4.0
RB_Jashore_2018,rice_blast,Jashore,Boro 2018,2018,2017-12-01,2018-03-15,0,5.0,1.67,4.0,2.67,,,,LBI=5.0% < 15% and NBI=1.67% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,0.9354285714285714,38.47,98.22,0.5574688221709008,0.3779597492576706,67.13533333333334,93.07,19.796190476190475,0.8945613339505092,5.0,105,-6.715501240822859,-13.96432105349502,6,0.4615135515017616,-0.4258979018615029,24.411832666777343,4.0
RB_Jashore_2019,rice_blast,Jashore,Boro 2019,2019,2018-12-01,2019-03-15,0,7.67,2.47,9.33,2.33,,,,LBI=7.67% < 15% and NBI=2.47% < 8%,Mahmud et al. (2021) SAJBR 4(1):01-13,1.508857142857143,35.76,158.43,0.5574688221709008,0.951388320686242,55.485142857142854,87.08,20.62580952380952,1.187506741961728,4.0,105,-6.24177532889163,-13.99213812430591,6,0.3696042837946081,-0.3658559435879807,25.4482838114844,4.0
WB_Meherpur_2016,wheat_blast,Meherpur,2015-16,2016,2015-12-01,2016-02-28,1,,,,,70.0,30.0,9640.0,Highest infection; 62% of national affected area,Islam et al. (2016) BMC Biology 14:84,0.533888888888889,19.94,48.05000000000001,0.3340107238605898,0.1998781650282991,51.346333333333334,82.04,20.73966666666667,1.2740110318902618,1.0,90,-7.530874795450722,-14.27102614160784,3,0.4668407424423768,-0.3943464028672112,22.875192347246113,4.0
WB_Chuadanga_2016,wheat_blast,Chuadanga,2015-16,2016,2015-12-01,2016-02-28,1,,,,,44.0,36.0,unknown,2nd highest infection,Islam et al. (2016) BMC Biology 14:84,0.6444444444444445,14.25,58.0,0.3954584450402145,0.24898599940423,53.44266666666666,76.33,20.97155555555556,1.2441721084541577,1.0,90,-6.19325838369209,-13.090561974114134,4,0.5381468718377477,-0.4522522226917974,22.32444941046877,3.0
WB_Jessore_2016,wheat_blast,Jessore,2015-16,2016,2015-12-01,2016-02-28,1,,,,,37.0,25.0,unknown,3rd highest infection,Islam et al. (2016) BMC Biology 14:84,0.7243333333333332,21.67,65.18999999999998,0.4795442359249329,0.2447890974084002,55.131,76.36,21.337777777777777,1.2345399707257698,3.0,90,-6.856519374854081,-15.004035691814137,6,0.3708774052894348,-0.3430908462106883,24.8268517260547,4.0
WB_Jhenaidah_2016,wheat_blast,Jhenaidah,2015-16,2016,2015-12-01,2016-02-28,1,,,,,8.0,51.0,unknown,Highest yield loss (51%),Islam et al. (2016) BMC Biology 14:84,0.5898888888888889,16.28,53.09,0.4295710455764076,0.1603178433124813,54.500888888888895,74.01,21.031444444444443,1.219134930673346,2.0,90,-7.777960840552709,-15.900638358778648,6,0.317489689962794,-0.2894423970275471,23.428574458320327,2.0
WB_Bhola_2016,wheat_blast,Bhola,2015-16,2016,2015-12-01,2016-02-28,1,,,,,5.0,5.0,unknown,,Islam et al. (2016) BMC Biology 14:84,0.7387777777777778,33.14,66.49,0.548225201072386,0.1905525767053917,68.84911111111113,87.28,21.21711111111111,0.8328982704658895,2.0,90,-7.271757190032293,-14.046646489800068,6,0.4296595335960247,-0.3738715516259646,24.8778783586133,4.0
WB_Kushtia_2016,wheat_blast,Kushtia,2015-16,2016,2015-12-01,2016-02-28,1,,,,,2,10.0,unknown,,Islam et al. (2016) BMC Biology 14:84,0.5872222222222222,25.39,52.85,0.3811152815013404,0.2061069407208817,53.433777777777784,76.12,20.848333333333333,1.224045477064256,1.0,90,-5.664783040046541,-13.917950170138988,6,0.243151201885695,-0.2080755247310136,23.023939637539087,4.0
